question_id,Diff,Discrm
13,-0.649,1.526
21,-0.646,1.993
26,-0.75,1.355
27,-0.337,1.247
28,-1.089,1.215
37,-0.702,1.534
44,-0.435,1.565
45,-0.408,1.182
53,-0.901,1.144
54,-0.914,1.363
56,-1.414,1.011
57,-1.345,1.449
58,-1.396,1.607
59,-1.451,1.525
63,-1.525,1.372
64,-0.944,1.135
65,-0.006,1.217
66,-0.578,1.105
92,0.723,0.913
102,-0.656,1.254
114,-0.824,1.063
130,0.061,0.873
135,-1.143,1.558
141,-0.774,1.501
155,-0.855,1.067
159,1.065,0.936
165,-1.122,1.262
166,-0.465,1.049
167,0.785,0.977
169,-1.019,1.868
172,0.357,1.372
176,-0.97,1.874
182,-0.685,1.717
186,-1.178,1.555
190,0.603,1.426
191,-1.444,1.502
192,-1.431,1.221
194,-0.523,0.973
206,-0.779,1.065
223,1.031,0.901
226,-0.223,1.881
230,-1.218,1.192
242,-0.29,1.706
243,-0.437,1.405
246,-1.417,1.506
251,-0.863,1.484
255,-0.86,1.438
268,-2.699,1.305
276,-0.407,0.327
302,-1.052,1.242
310,-1.416,0.946
311,-1.487,1.507
315,-1.248,1.728
335,-1.339,2.004
337,-0.885,0.709
345,-1.114,1.478
349,-0.57,1.272
360,-1.21,1.369
367,-0.863,1.294
369,-0.862,1.189
371,-1.422,1.459
375,-0.188,1.856
383,-1.325,1.339
388,-1.182,2.024
396,-1.229,1.907
397,-0.537,1.465
436,0.307,1.023
438,-1.777,1.185
441,-1.097,2.08
445,-0.229,1.283
452,-1.231,2.009
456,-0.338,1.67
461,-0.952,1.112
470,-0.911,0.943
471,-0.193,1.083
504,-0.833,1.173
515,-0.929,1.397
527,0.063,1.053
537,-0.523,1.074
544,-1.343,1.988
555,-1.084,1.493
563,-0.775,1.636
575,-0.404,1.192
581,-0.71,1.479
595,-0.68,1.094
597,-1.43,1.283
602,-0.053,0.766
604,-1.647,2.361
606,-1.309,1.462
607,-1.087,1.139
608,-1.415,1.544
613,-0.579,1.354
618,-1.743,2.019
627,-1.498,1.697
631,0.159,0.842
635,-1.135,1.523
637,-0.193,2.164
639,-1.335,1.35
645,-1.867,1.548
647,-1.573,0.956
648,-0.64,1.018
649,-1.81,1.563
654,-0.995,1.849
655,-1.61,1.392
656,-1.006,1.641
658,-1.158,2.331
660,-1.794,1.592
661,-1.293,1.476
662,-1.424,1.342
663,-1.027,1.453
664,-1.101,1.808
671,-1.503,2.251
687,-1.464,2.499
688,-1.17,1.508
691,-0.802,1.014
692,-1.789,2.06
694,-2.218,1.596
696,-0.663,1.173
697,-0.539,1.757
700,-1.561,2.155
704,-1.034,1.226
705,-0.781,1.312
707,-0.682,1.715
708,-0.051,0.936
710,-1.02,1.13
712,-1.443,1.777
713,-0.645,1.644
714,-0.23,1.503
716,0.128,1.463
753,-0.437,1.04
754,-0.226,2.162
760,0.231,0.859
766,-0.601,1.395
807,-0.552,1.67
809,0.312,1.101
810,-0.187,1.395
813,0.62,0.865
815,-0.981,1.115
817,-0.866,1.082
818,-0.311,1.176
864,-0.577,2.245
910,-0.049,1.521
914,0.221,0.99
994,-1.009,1.561
998,-0.694,2.264
999,-0.337,0.948
1000,-0.7,1.448
1001,-1.807,2.273
1006,-1.097,1.5
1009,-1.056,1.299
1011,0.06,1.213
1014,-0.735,1.349
1042,-1.422,1.387
1049,-0.139,1.391
1052,-1.29,1.263
1060,-1.205,1.648
1079,-0.943,2.152
1085,-1.502,1.626
1087,-1.177,1.508
1089,-0.918,2.018
1090,-0.97,1.172
1104,-0.798,1.543
1109,-0.424,1.478
1110,-0.377,1.844
1112,-0.298,1.099
1113,8.787,-0.127
1119,-0.481,1.451
1122,-0.188,1.013
1124,-1.399,1.937
1135,0.104,0.923
1136,-0.776,1.106
1140,-0.568,1.404
1143,-0.13,0.839
1146,-1.04,1.259
1149,-0.943,1.192
1151,-1.631,1.516
1591,-1.565,8.741
1592,-1.249,1.659
1593,-0.799,0.207
1600,-1.152,1.288
1601,-1.088,2.149
1604,-1.687,1.845
1605,-1.499,1.825
1606,-1.096,1.742
1607,-1.379,1.479
1608,0.004,1.034
1609,-1.072,1.643
1611,-0.757,1.368
1612,-0.953,1.318
1613,-0.799,1.456
1614,-0.914,1.493
1619,-0.183,1.301
1623,-1.162,1.386
1628,-1.547,2.185
1630,-0.261,1.051
1632,-1.024,1.064
1633,-0.958,1.071
1634,-0.534,1.459
1637,-0.706,1.756
1638,-1.136,2.195
2193,-0.126,0.913
2202,-0.494,1.464
2208,-0.11,0.877
2214,-0.62,1.316
2234,-0.131,1.248
2254,-0.882,1.231
2270,-1.037,1.782
2291,-0.569,1.463
2321,-0.717,3.127
2335,-0.875,1.416
2343,-0.186,1.583
2348,-0.342,1.585
2354,-0.443,1.28
2355,-0.277,1.31
2371,-0.032,1.582
2489,0.068,1.273
2497,-0.101,1.168
2504,-0.07,1.227
2511,-0.264,1.237
2514,0.683,1.109
2516,0.943,1.071
2517,0.215,1.049
3828,-1.544,1.859
3855,-0.646,1.769
3859,-0.663,1.345
3917,-0.56,1.062
4497,-0.73,1.928
4539,-1.982,2.384
4541,-1.135,1.463
4994,-0.949,1.548
5420,-0.871,1.047
5425,-0.887,1.479
5456,0.475,1.376
5475,-0.468,-0.14
5477,-0.763,2.099
5480,-0.881,1.174
5489,-0.45,1.674
5490,-0.961,1.798
5494,-0.936,1.197
5504,-0.497,1.236
5515,-1.614,2.269
5534,-0.426,1.135
5548,-1.104,1.331
5553,0.087,0.866
5559,-1.298,1.162
5561,-0.068,1.057
5562,-0.329,1.782
5566,3.516,0.383
5580,-1.766,0.346
5584,0.758,1.27
5591,-3.581,0.547
5594,-0.291,1.378
5601,2.297,0.281
5620,-0.378,1.061
5916,0.493,1.285
11390,-1.236,1.266
11542,-0.711,1.112
12098,0.211,1.4
12109,0.583,1.226
12144,-1.486,2.144
12146,-1.109,1.702
12148,-0.702,1.794
12149,-1.305,2.182
12151,-0.41,2.067
12157,-0.947,1.341
12159,-0.879,0.91
12166,-0.894,2.282
12168,-1.559,2.305
12171,-0.584,1.713
12179,-0.451,1.727
12208,0.093,0.933
12209,0.145,4.92
12212,-1.004,1.581
12663,-0.701,1.508
12665,9184.48,-0.003
12672,-1.419,1.758
12674,-0.426,1.006
12709,-0.058,1.511
12710,1.161,-34.801
12711,0.093,1.513
12716,1.117,0.169
12717,-2.304,-0.555
12718,0.359,1.03
12719,5.677,0.37
12720,0.741,0.898
12721,-0.56,1.31
12729,-0.004,1.034
12730,3.113,0.363
12734,-0.144,1.343
12745,0.634,1.241
12749,4.113,0.242
12750,-0.991,1.13
12752,0.492,1.514
12754,0.557,1.012
12755,3.07,0.669
12763,-0.858,1.773
12776,0.076,1.657
12777,1.082,1.182
12783,0.535,1.264
12790,-0.087,1.616
12793,-0.271,1.087
12797,0.688,1.216
12799,-1.216,2.36
12801,-0.794,1.73
12803,1.161,34.812
12810,1.598,0.198
12812,-0.009,1.051
12814,-0.066,1.374
12817,1.993,0.18
12821,1.316,1.044
12929,0.303,1.168
12930,-0.261,1.12
12932,0.566,1.218
12949,1.534,0.982
13074,0.437,1.198
13078,0.649,1.085
13080,0.627,0.984
13201,-0.403,1.141
13205,0.298,1.22
13207,0.149,1.863
13208,-1.003,1.689
13210,-0.872,1.678
13211,-0.343,1.34
13212,0.242,1.38
13214,-1.137,1.764
13215,0.925,1.003
13217,-0.124,0.936
13221,1.113,1.157
13222,-0.387,1.297
13224,0.213,1.371
13228,0.673,1.542
13229,0.419,0.977
13230,-0.393,1.125
13231,-0.547,2.262
13234,-0.467,1.702
13235,-0.183,0.994
13236,0.561,1.272
13239,-0.233,1.24
13241,0.725,1.125
13243,0.503,1.008
13273,-0.609,1.574
13274,-0.015,0.988
13275,-0.582,1.346
13276,-0.606,1.21
13277,0.148,1.597
13278,-0.355,1.128
13280,-1.505,1.493
13281,-0.885,1.879
13282,0.19,1.176
13286,0.066,1.296
13287,-0.906,1.367
13292,0.955,1.096
13509,-0.028,1.399
13510,0.406,1.213
13513,-1.183,1.344
13514,0.936,1.306
13517,-0.077,4.788
13532,-0.954,1.282
13535,-1.086,1.485
13536,-0.946,1.517
15010,-0.981,1.573
15011,1.072,0.294
15013,-0.77,1.867
15014,-0.275,1.07
15029,-0.414,1.37
15030,-0.306,1.463
15031,-0.646,1.286
15032,0.531,1.571
15033,-0.24,0.984
15049,0.813,1.22
15050,0.639,0.85
15051,-0.32,1.442
15052,-0.037,1.308
15053,0.273,1.313
15057,0.066,1.285
15059,1.259,1.101
15061,0.343,1.096
15062,1.127,1.437
15063,0.186,1.491
15064,-0.435,1.828
15065,1.773,0.355
15071,-0.16,1.074
15142,-0.928,1.429
15147,-0.229,1.529
15403,0.085,1.02
15412,3.394,0.635
15413,0.259,0.91
15415,0.755,0.469
15865,0.028,1.904
15872,0.641,1.082
1232,-0.717,-3.125